Name,Series,Attachments,Status,URL,Series Number,Created,Field 15,Photo URL
Have Yourself a Merry Little Christmas ,Christmas 2023,2023-12-21 14.31.00.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/hVKaLf9D9lM39AgAu8Zz9A/RDkWxspqhs-zEthzPefk-D74Aoln6U0RPhSH32ik2j356Cv3g-XbtuamG3J3EpA6JjXnT2d64gh3YMAniWofNJQPYwezcAtmQ434tHKpGb0ariTXPdkn4plCseLnkDxnW3HMhdTBVg6mjY7BmynAR3GKYDj7Zlsry_QM0lQsHx0/GdAHXEzxsO8iU8d-KGNLa0Ppd7_sMxUagsazEtUG3FM),Found,https://www.youvebeenpucked.com/christmas2023/haveyourselfamerrylittlechristmas?found=HaveYourselfaMerryLittleChristmas,6,12/21/2023 2:30pm,,
Let’s Get Lit,Christmas 2023,2023-12-21 14.30.23.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/JZ56l9uJT0KoAsK49tYvOw/_z8Ug3DfkO0ymsPuIGf8cbh6K2ypQZxXV1DWM5Awuxkp8VUTA1ahQVnHBnQDkvCkVA_MS5cCjJdI6fSGxjShThxtWQ1s-n1qgkt4ClztmWIUcpCKpVQsXTc6cwXwOfv-QeircFhX6wCjAHh4y4NNU5ev9tIJkhn5CqPJRyirJqI/mkmqJtHUaVH3TtyMpnfkNq5_QJiZ5Pxw6Ln1uodfPeE),Found,https://www.youvebeenpucked.com/christmas2023/let’sgetlit?found=Let’sGetLit,5,12/21/2023 2:30pm,,
Santa Shaker,Christmas 2023,2023-12-21 14.29.51.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/WYeH3751HDJe-3HDTIWraA/VXMGuKa99JhZI8hGVGhqzwQW7ArpPHx-hPo_u4X8Xby1_x-8jC2Uvn1Tn0IafLh5q-Jz0XhMIoySTWjqtEfF8zV07NoMPmlX9wYI9Kq2QhPdjaFR5IyBvJEbP-lP676a2qBeRjs2Zq9HzT9vYwx_fhR6py7WQtEAd3IGp-4eoLw/SYxr-08gl-wTveXfxL4XQM6gAdGJK_EIkYVLclaAUHY),Found,https://www.youvebeenpucked.com/christmas2023/santashaker?found=SantaShaker,4,12/21/2023 2:29pm,,
It’s the Most Wonderful Time of the Year,Christmas 2023,2023-12-21 14.29.19.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/hhWEZhLVxsd8BgkL4PzKPQ/UMEqyA5I61F8gSjPdwtaxpd2dBqGB_itRCgtmm-MoT7vRZXCVt27hnvAh75yMA3sxg9_7aH2myGLsXKiDrt3aYl8vaPDC5Xmq7bN-y4som_ifdNDBT1qQxrmBzlux0LeOHbar_6vpxriF7KN1nti-V74SgLX50R-7JTH7R6opJM/L-idZI2YB8OkNzWyJZ2ZPkYMlPRUymgTmN_YGlf074A),Found,https://www.youvebeenpucked.com/christmas2023/it’sthemostwonderfultimeoftheyear?found=It’stheMostWonderfulTimeoftheYear,3,12/21/2023 2:28pm,,
My Favorite Color is Christmas Lights,Christmas 2023,2023-12-21 14.28.43.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/-9-DLxU3QKD5QJuUZTA1cQ/HzPBfOruDr2RidyQtG2H2I3pdQcsfH7t3qIYDg-muv4k8Y-kA_92d8ZsYo-IUKItT3GwET2sdVNwDA1qOO_6Me2eQTIvblSa-QYVgEL-_yBh00lEqnWDpLc3pAV0Pz8A41INQptcrQua-jbfhNIkcq6XGwdoWZ4i25FyMxyakSk/wjOqMlcz6vWTWYEmxvEov3TGZcQ9Nk7UKeli6tBjtF0),Found,https://www.youvebeenpucked.com/christmas2023/myfavoritecolorischristmaslights?found=MyFavoriteColorisChristmasLights,2,12/21/2023 2:28pm,,
Merry Christmas Shaker,Christmas 2023,2023-12-21 14.27.35.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/wPTjSaI3mEavgcqZEOxjaA/twmyUKMzYGWXvzxACg9ytWI_HWVMO0t8iqXxpz9VDE_wRXkjEwVE_aryVTFdOZ0b7bx2xSSYpDQwhgQNd2zr1GVxJa9SmVhuVJT3FCMVsc3KuYV2KoOa80LxeBzFLbcSNhbjuKOALsWs-wVmJ6clj0EAb3ocBmhWHeoFMwG9PJ0/G0nfV6FA1XF-q0ZrNcw67bv_hbcaR-S3_1HrDQ1Yq00),Found,https://www.youvebeenpucked.com/christmas2023/merrychristmasshaker?found=MerryChristmasShaker,1,12/21/2023 2:25pm,,
Zombieland ,Halloween 2023,2023-10-16 17.28.28.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/w6odobTDmowF0o4tWPP1uw/Z5qYZ2BQFbnd8ataTOLTZzF7B0KP8K-f_Y0PER2lO5fQ0Vs8KX7M74XOG7J9tj6DEfjM4SldKi-wf7vrSqsH0QR7hhE3rEh9xIl4VP5CWdKKf4nlVg64DQwzPPZhVWCWEg54n7ZhKtWN7-FBjwJFrqbpQ8ODodUgYVWSJqOY1zk/zfxlhR1s8dxLemlxA77OTe4dk3rC9GFKQ7vwFwLay_o),Found,https://www.youvebeenpucked.com/halloween2023/zombieland?found=Zombieland,1,10/16/2023 5:27pm,,https://raw.githubusercontent.com/mkvug/YBP-Images/main/2023-10-16%2017.28.28.jpg
My other car is a Broom,Halloween 2023,2023-10-16 17.27.40.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/XjM80ua97TZ5XJwOmytjpA/MOmEc2VSHinJLotPEJiJIdWim0XhEolMP4ziZcPoXiMOyU_-JXsB11LgPqrZ9_rWP7vp_or348EKLzrYrrHytGenMA6EasBKgCHhMAQIW8N-mg0ytVJZi4osPdef9J98MG6zbilZWvnTKkyanOQAoHzs0K7L7E2bIS23OLL2xYU/eOrsjN5zT5dRBEjq2YxuwrYEAv0OyVr3U3w_CK4wexU),Found,https://www.youvebeenpucked.com/halloween2023/myothercarisabroom?found=MyothercarisaBroom,2,10/16/2023 5:27pm,,https://raw.githubusercontent.com/mkvug/YBP-Images/main/2023-10-16%2017.27.40.jpg
Do you need a Hand,Halloween 2023,2023-10-16 17.26.52.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/8eF94YREIPHTsn2jaQRXXg/iw__2vMytztBtA43t5fnpxsdAhF3F4p2iActOq7jv7MSe2OyxZsD5ox3rlnybtPlb1qCZ1IGnhjFc1Bj61DD0vB9JRzoc564-H4UGN6AVhBbd9NvRVGSKJ82d2kHDSuxjOSNnoLmAMK5kXpybPGgAOr1EhHWSgArdolrQUj0sV0/3Wibj2QWT8kCr7VoWBGzN9T4d_zDVzfZ8mpidmDCadI),Found,https://www.youvebeenpucked.com/halloween2023/doyouneedahand?found=DoyouneedaHand,3,10/16/2023 5:26pm,,https://raw.githubusercontent.com/mkvug/YBP-Images/main/2023-10-16%2017.26.52.jpg
Happy Haunting,Halloween 2023,2023-10-16 17.26.11.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/iHCOGljnrkewgqokBhTRhw/hDC2HB6SqNDTSwa8Ts3qFm56gSMp26K2D0K6rl3wrdOuWGBA7YQ8COokf1NkcP_YjDQ2oatBFHH74RNJRw6L8OfWYInfQ7sLT6D2fZVZneboPvTX3zEceAV633cH0G-SGPibVOYeM7it7OQjo3dRCFKBWvNLH3t68b8eWxrkYlQ/y8osljyDgrklWYTiRNOefFxCGQtOypzcthiEyAeU_8M),Found,https://www.youvebeenpucked.com/halloween2023/happyhaunting?found=HappyHaunting,4,10/16/2023 5:25pm,,https://raw.githubusercontent.com/mkvug/YBP-Images/main/2023-10-16%2017.26.11.jpg
